skill_a,skill_b,category,gold,exact_pred,fuzzy_pred,fuzzy_score,exact_correct,fuzzy_correct
Frontend Development,Front-End Development,synonym,1,0,1,0.976,0,1
Backend Development,Back-End Development,synonym,1,0,1,0.974,0,1
ML Engineering,Machine Learning Engineering,synonym,1,0,0,0.667,0,0
Continuous Deployment,CD,abbreviation,1,0,0,0.174,0,0
Figma,Sketch,unrelated,0,0,0,0.0,1,1
Photoshop,Excel,unrelated,0,0,0,0.0,1,1
SQL,Photoshop,unrelated,0,0,0,0.167,1,1
Docker,Salesforce,unrelated,0,0,0,0.375,1,1
Kubernetes,Adobe Illustrator,unrelated,0,0,0,0.296,1,1
HTML,CSS,unrelated_related_domain,0,0,0,0.0,1,1
REST API,GraphQL,unrelated_related_domain,0,0,0,0.4,1,1
PyTorch,TensorFlow,unrelated_same_domain,0,0,0,0.353,1,1
MySQL,PostgreSQL,unrelated_same_domain,0,0,0,0.4,1,1
Objective-C,Swift,unrelated_same_domain,0,0,0,0.125,1,1
Photoshop,Illustrator,unrelated_same_domain,0,0,0,0.2,1,1
Tableau,Power BI,unrelated_same_domain,0,0,0,0.133,1,1
Jira,Trello,unrelated_same_domain,0,0,0,0.2,1,1
Slack,Microsoft Teams,unrelated_same_domain,0,0,0,0.2,1,1
AWS,Azure,unrelated_same_domain,0,0,0,0.25,1,1
Java,Kotlin,unrelated_same_domain,0,0,0,0.0,1,1
React,Angular,unrelated_same_domain,0,0,0,0.167,1,1
Docker,Vagrant,unrelated_same_domain,0,0,0,0.154,1,1
Pandas,NumPy,unrelated_same_domain,0,0,0,0.182,1,1
Selenium,Cypress,unrelated_same_domain,0,0,0,0.133,1,1
Excel,SQL,unrelated,0,0,0,0.25,1,1
Photoshop,Figma,unrelated_same_domain,0,0,0,0.0,1,1
Recruiting,Python,unrelated,0,0,0,0.25,1,1
Marketing,DevOps,unrelated,0,0,0,0.133,1,1
Sales,Kubernetes,unrelated,0,0,0,0.267,1,1
Accounting,React,unrelated,0,0,0,0.4,1,1
Customer Service,Docker,unrelated,0,0,0,0.273,1,1
